gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
61,17,0.075000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,17,0.125000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,17,0.175000,0.875000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,17,0.225000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,17,0.275000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,17,0.325000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,17,0.375000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
69,17,0.475000,0.875000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
70,17,0.525000,0.875000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,17,0.625000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,17,0.675000,0.875000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,17,0.775000,0.875000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,17,0.825000,0.875000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,17,0.875000,0.875000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,17,0.925000,0.875000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,17,0.975000,0.875000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,17,1.025000,0.875000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,17,1.075000,0.875000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,17,1.125000,0.875000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,17,1.175000,0.875000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,17,1.225000,0.875000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,17,1.275000,0.875000,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,17,1.325000,0.875000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,17,1.375000,0.875000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
88,17,1.425000,0.875000,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
89,17,1.475000,0.875000,15,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
90,17,1.525000,0.875000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,18,0.025000,0.925000,57,0.629249,0.314625,0.842105,0.842105,0.000000,0.000000,0.157895
61,18,0.075000,0.925000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,18,0.125000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,18,0.175000,0.925000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,18,0.225000,0.925000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,18,0.275000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,18,0.325000,0.925000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,18,0.375000,0.925000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
70,18,0.525000,0.925000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71,18,0.575000,0.925000,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,18,0.625000,0.925000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,18,0.675000,0.925000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,18,0.725000,0.925000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,18,0.775000,0.925000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,18,0.875000,0.925000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,18,0.925000,0.925000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,18,0.975000,0.925000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
