candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
281,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307398,0.408505,-0.472509,-0.220029,0.555236,0.387756,0.154000,0.308299,0.492730,0.795653,1.099022,-0.940517
282,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.876067,0.802706,-1.169640,0.130426,1.139392,1.100254,1.178143,-0.673787,0.868405,0.501814,0.302748,-0.950327
283,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.053758,0.742594,0.619050,-0.010635,-0.473138,0.282020,0.053374,-0.811790,0.958623,-0.827113,0.165103,-0.533517
284,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.017014,-0.845011,-0.934204,-0.219921,-0.998166,-0.453223,0.865682,0.963640,0.798844,1.064021,-0.675509,-1.054599
285,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.195427,0.449022,-0.764202,-0.704213,-0.241127,1.182577,0.861862,1.061166,0.832800,1.047367,0.746715,0.346631
286,accepted,2,0.062917,0.426556,0.147500,1.225496,2.268589,0.540202,-0.399062,0.826434,-1.599485,0.669104,0.703602,-0.311114,-0.487180,0.257623,-0.574024,-0.727594,0.377077,-0.901430,0.360386,-1.051393,-0.980710,-0.787368
287,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513227,0.925286,0.242256,0.155748,0.454153,-0.384066,0.409423,0.682039,-0.439831,1.138761,-0.376476,-0.727798
288,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.296504,-0.276626,-1.086720,-0.209137,0.135862,-0.706276,0.434269,-0.671531,0.937406,0.637409,-0.094512,-0.680899
289,collapsed,,0.000000,-1.214119,0.000000,0.000000,0.000000,0.000000,-0.158864,-0.158864,0.376548,0.376548,-0.430608,0.447858,0.148426,-0.593694,0.805552,0.002134,0.592042,-0.351044,-0.089531,0.228478,-0.686191,0.021504
290,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933494,0.498508,-0.828919,-0.674794,0.219498,0.165687,1.142693,-0.960667,-0.068425,-0.309425,-0.482658,0.363798
291,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.870987,-0.150345,0.422174,0.989467,0.299428,-0.670003,1.159247,-0.274094,0.184825,-0.778601,0.118398,0.097275
292,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.137204,0.381681,-0.121727,-0.165077,-0.977655,-0.845972,0.660373,1.076033,0.915135,-0.001614,-0.157758,-1.032987
293,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180478,1.021629,-0.559274,0.513731,-0.570118,1.116199,0.753334,0.832178,-1.046636,0.496197,0.541498,0.607605
294,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.128990,-0.664598,-0.985735,-0.185111,-0.280458,0.067617,-0.012497,-0.273992,-0.358824,-0.083012,0.323120,0.044271
295,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.187004,0.950013,-0.337417,0.343677,-0.106391,-1.113127,-0.979855,0.029241,1.028053,-0.577793,-0.149825,-0.739545
